Title	Caption	Region	Vol #	Negative #	Date	Photographer	City	Digital Collection	Subject	Publisher	Contributors	Type	Format	Repository	Repository Collection Guide	Contact and Ordering Information	Language	Relation	Rights	Audience	File name	Cite As	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Control Room	Interior of the control room for fluid catalytic cracking units.  Operator runs Orsat test.  In controlling the burning of carbon off the catalyst this test is made periodically to analyze the flue gas.	Southeast	66	462	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/14	14	15.jp2	/p16313coll52/image/15.jp2
Employees Faces	Brick mason laborers in front of the crude oil pipe stills.	Southeast	68	463	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/15	15	16.jp2	/p16313coll52/image/16.jp2
Lumber	A tooth saw whirling its way through a native cypress log at the sawmill of Dewey Dupree on the Bayou Blue.  Dewey Dupree, a farmer, has 56 acres of cypress lumber on his place.	Southeast	75	50738	8/1/1947	Roberts, Martha M.	Houma	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/16	16	17.jp2	/p16313coll52/image/17.jp2
Employees Eating- Relaxing	Lunch time at one of the three lunch stands.  The men lined up at ""Tool Boys"" who fetch the lunches for whole gangs of men to save time and manpower.	Southeast	68	475	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/17	17	18.jp2	/p16313coll52/image/18.jp2
People	Mrs. Louis Brunet, of the Bayou Cane Community, plaiting strips of bleached palmetto for a palmetto hat in the small sitting room of her old Cajun home.	Southeast	55	50741	8/1/1947	Roberts, Martha M.	Houma	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/18	18	19.jp2	/p16313coll52/image/19.jp2
Employees Eating- Relaxing	Lunch time at one of the three lunch stands.  The men lined up at ""Tool Boys"" who fetch the lunches for whole gangs of men to save time and manpower.	Southeast	68	479	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/19	19	20.jp2	/p16313coll52/image/20.jp2
Swamp Shooters Boats and Supplies	Members of seismograph crew boarding a bateau which will take them to work in the swamps.  In the background are march buggies which this crew also uses.	Southeast	70	50751	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/20	20	21.jp2	/p16313coll52/image/21.jp2
Swamp Shooters Boats and Supplies	Two bateaux (Foreground) and quarter and repair boats which are used in Humble seismograph operations near Lake Arthur, Louisiana.	Southeast	70	50753	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/21	21	22.jp2	/p16313coll52/image/22.jp2
Employees Eating- Relaxing	Men during rest period in ""smoking pen"".  Pens are this sort are scatter throughout the refinery.  In them, and in them only, is smoking permitted.	Southeast	68	486	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/22	22	23.jp2	/p16313coll52/image/23.jp2
Employees Eating- Relaxing	Men during rest period in ""smoking pen"".  Pens are this sort are scatter throughout the refinery.  In them, and in them only, is smoking permitted.	Southeast	68	487	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/23	23	24.jp2	/p16313coll52/image/24.jp2
