Title	Caption	Region	Vol #	Negative #	Date	Photographer	City	Digital Collection	Subject	Publisher	Contributors	Type	Format	Repository	Repository Collection Guide	Contact and Ordering Information	Language	Relation	Rights	Audience	File name	Cite As	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Family Groups	Horace Johnson, Mississippi River fisherman, starting out to sell fish to the Sprague, a Standard Oil towboat.	Southeast	55	52403	7/1/1947	Roberts, Martha M.	Point Breeze	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/209	209	210.jp2	/p16313coll52/image/210.jp2
Refinery Docks General Views	Oil barges being loaded at the Baton Rouge Refinery docks.	Southeast	67	1553	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/210	210	211.jp2	/p16313coll52/image/211.jp2
Loading Rack	On the loading rack.  Loading heavy fuel oil into a tank car.	Southeast	67	1561	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/211	211	212.jp2	/p16313coll52/image/212.jp2
Portraits	Louis Brunet, 70 year old sugar cane farmer of the Bayou Cane Community.	Southeast	55	52416	8/1/1947	Roberts, Martha M.	near Houma	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/212	212	213.jp2	/p16313coll52/image/213.jp2
Loading and Unloading Tugs and Barges	Oil barges being loaded at the baton Rouge refinery docks.	Southeast	67	1567	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/213	213	214.jp2	/p16313coll52/image/214.jp2
People	Tom Darce sitting in the window of his blacksmith shop on the Bayou DuLarge.  When business is slow, he plays his accordion.	Southeast	55	52422	8/1/1947	Roberts, Martha M.	Houma	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/214	214	215.jp2	/p16313coll52/image/215.jp2
Loading and Unloading Tugs and Barges	Valve manifold to which hose ends are attached on the dock.	Southeast	67	1570	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/215	215	216.jp2	/p16313coll52/image/216.jp2
Drilling Operations Drill Floor	Derrick man unplugging the choke to let the first flow of oil spurt through to the burning pit at the Carter Wilbert Well No. 25.	Southeast	72	52737	9/1/1944	Roberts, Martha M.	Plaquemine	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/216	216	217.jp2	/p16313coll52/image/217.jp2
Loading and Unloading Tugs and Barges	Workmen installing a meter on the valve manifold to measure small quantity of fuel oil to be pumped out to waiting boat.	Southeast	67	1577	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/217	217	218.jp2	/p16313coll52/image/218.jp2
Gravity Meter Party	Through the mire and still waters of Concordie swamp crew members transport their gravity meter to set up a new station on the other side of the swamp.	Southeast	70	52740	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/218	218	219.jp2	/p16313coll52/image/219.jp2
Loading and Unloading Tugs and Barges	During loading operations on the Baton Rouge Refinery dock.	Southeast	67	1579	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/219	219	220.jp2	/p16313coll52/image/220.jp2
Loading and Unloading Tugs and Barges	During loading operations on the Baton Rouge Refinery dock.	Southeast	67	1580	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/220	220	221.jp2	/p16313coll52/image/221.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Jim Powell, gravity meter surveyor taking a sight through the alidade to determine the location and elevation of a new gravity meter station across the Mississippi River.	Southeast	70	53093	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/221	221	222.jp2	/p16313coll52/image/222.jp2
Cat Crackers	Catalytic cracker.	Southeast	66	1601	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/222	222	223.jp2	/p16313coll52/image/223.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Jim Powell, gravity meter surveyor, signalling down the Mississippi River to his rod-man after surverying a new gravity meter station on the bank of the river.	Southeast	70	53094	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/223	223	224.jp2	/p16313coll52/image/224.jp2
Cat Crackers	Catalytic crackers.	Southeast	66	1602	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/224	224	225.jp2	/p16313coll52/image/225.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Rodman and gravity meter operator setting up a new gravity meter station on the banks of the Mississippi River about thiry miles below Natchez, Mississippi.	Southeast	70	53097	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/225	225	226.jp2	/p16313coll52/image/226.jp2
Cat Crackers	Catalytic cracker surrounded by steam from water coolers.	Southeast	66	1603	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/226	226	227.jp2	/p16313coll52/image/227.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Their boat run aground in the river, the gravity meter crewmen wade ashore with their rod and meter to set up a new station on the bank of the Mississippi about thirty miles belowe Natchez, Mississippi.	Southeast	70	53098	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/227	227	228.jp2	/p16313coll52/image/228.jp2
Laboratories	Chemical Products Laboratory.  Every bottle represent a different experiment in the making of synthetic catalyst.	Southeast	67	1604	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/228	228	229.jp2	/p16313coll52/image/229.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Among jungled growth in the Black Hawk Swamp, David Hewell, gravity meter operator, takes a gravity meter reading at a previously established station.	Southeast	70	53099	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/229	229	230.jp2	/p16313coll52/image/230.jp2
Pipe Stills	Rain, steam and wind in the refinery.  Crude pipe still #7 and its furnace with catalytic crackers in the background.	Southeast	66	1609	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/230	230	231.jp2	/p16313coll52/image/231.jp2
Employees Faces	Julius Rowe, a porter in the Esso laboratory stock room.	Southeast	68	1610	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/231	231	232.jp2	/p16313coll52/image/232.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Joe Ault, gravity meter operator, taking a gravity meter reading at a previosuly established station on a sandbar in the Mississippi River about forty miles below Natchez, Mississippi.	Southeast	70	53101	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/232	232	233.jp2	/p16313coll52/image/233.jp2
Cat Crackers	Catalytic crackers.	Southeast	66	1611	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/233	233	234.jp2	/p16313coll52/image/234.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  Gravity meter crew-members setting up for a gravity meter reading at a previously established station on a snad bar in the Mississippi River about forty miles below Natchez, Mississippi.	Southeast	70	53102	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/234	234	235.jp2	/p16313coll52/image/235.jp2
Employees Eating- Relaxing	Laborers interrupt stacking of pipe long enough to have some coffee.  This coffee is a tradition and ritual at the refinery.  It is served about every two hours.	Southeast	68	1615	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/235	235	236.jp2	/p16313coll52/image/236.jp2
Gravity Meter Party	Carter Oil Company, Gravity Meter Party #6.  In Cocordie Swamp.  After securing the skiff and building a tree platform.  David Newell takes a gravity meter reading and Bill Low records the data.	Southeast	70	53103	10/1/1947	Roberts, Martha M.	Concordia Parish	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/236	236	237.jp2	/p16313coll52/image/237.jp2
River Skills Miscellaneous	Planning a tow.  Each of the strips is a scale model of a barge or a steamer.  Before tows are made up it is thus possible to make certain that everything will fit.	Southeast	56	1616	12/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/237	237	238.jp2	/p16313coll52/image/238.jp2
Churches Cemeteries	Private graveyard and church of the Argue  family, 1830 settlers, Laurel Hill, Louisiana.	Southeast	55	53273	10/1/1947	Roberts, Martha M.	Laurel Hill	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/238	238	239.jp2	/p16313coll52/image/239.jp2
Loading and Unloading Tugs and Barges	Barges being cleaned with steam at the baton Rouge refinery docks.	Southeast	67	1617	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/239	239	240.jp2	/p16313coll52/image/240.jp2
Churches Cemeteries	The private church of the Argue family, 1830 settlers. Laurel Hill, Louisiana.	Southeast	55	53275	10/1/1947	Roberts, Martha M.	Laurel Hill	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/240	240	241.jp2	/p16313coll52/image/241.jp2
Houses	The ruins of the old Colonel Packman house at Chalmette, Louisiana. There was a battle fought here in the war of 1812.	Southeast	55	54853	12/1/1947	Webb, Todd	Chalmette	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/241	241	242.jp2	/p16313coll52/image/242.jp2
Grease & Lube Oils	Compound Building.  On the lubricating oil loading rack.	Southeast	67	1619	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/242	242	243.jp2	/p16313coll52/image/243.jp2
Sugar Cane Harvest	Railroad cars without tops built to carry sugar cane to the factories.	Southeast	76	54858	12/1/1947	Webb, Todd		Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/243	243	244.jp2	/p16313coll52/image/244.jp2
Signs	Honor Roll at Maurice, Louisiana. Most of the names are Broussard, Hebert, or Trahan.	Southeast	54	54859	12/1/1947	Webb, Todd	Maurice	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/244	244	245.jp2	/p16313coll52/image/245.jp2
Grease & Lube Oils	Compound Building.  Loading drums of lubricating oil for a lend lease shipment into railroad cars.	Southeast	67	1620	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/245	245	246.jp2	/p16313coll52/image/246.jp2
People	Dauphine Street.  In the French Quarter.	Southeast	55	54860	1/1/1948	Webb, Todd	New Orleans	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/246	246	247.jp2	/p16313coll52/image/247.jp2
Grease & Lube Oils	Compound Building.  Machine which forms rod cup grease for locomotives.	Southeast	67	1621	1/1/1944	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/247	247	248.jp2	/p16313coll52/image/248.jp2
