Title	Alternative Title(s)	Composer	Arranger	Lyricist	Place of Publication	Publisher	Date of Publication	Physical Description	Performance Medium	Dedicatee	Genre	Series or Collection	Repository	Call no.	Rights	Type	File Name	Subject	Notes	Identifier	Source	Language	Coverage-Spatial	Coverage-Temporal	Cataloger	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Dorados Ensueños	Golden Dreams	Ramos, Florencio.			New Orleans	Junius Hart	1886	piano score (5 p.)	piano		mazurka		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1. M86 Box 1, No. 44	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/31	31	32.pdf	/p15140coll56/image/32.pdf
Dreaming Mazurka	Soñando	Martinez, Narciso.			New Orleans	Junius Hart	1886	piano score (6 p.)	piano	Miss Louise Théard	mazurka	Compositions of Narciso Martinez	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 8b	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/32	32	33.pdf	/p15140coll56/image/33.pdf
El sueno de las flores	Dream of the Flowers Schottisch	Rosas, Juventino.			New Orleans	Junius Hart	1889	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/33	33	34.pdf	/p15140coll56/image/34.pdf
Your Lips and Eyes		Carazo, Castro.			New Orleans	Philip Werlein	1875	piano score (5 p.)	voice and piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 . M86 Box 6, No. 12a	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/34	34	35.pdf	/p15140coll56/image/35.pdf
Gizella Schottisch		Correa, Emiliano.			New Orleans	Louis Grunewald	1890	piano score (5 p.)	piano		schottisch	The Most Popular Gems of Mexico	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/35	35	36.pdf	/p15140coll56/image/36.pdf
Maria Gavotte		Morales, S.			New Orleans	Junius Hart	1891	piano score (6 p.)	piano		gavotte		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/36	36	37.pdf	/p15140coll56/image/37.pdf
Jasmines y Violetas	Jasmines and Violets	Avila, Felix G.			New Orleans	Junius Hart	1892	piano score (6 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/37	37	38.pdf	/p15140coll56/image/38.pdf
Jota de los ratas	Pick Pocket's Dance Waltz	Chueca, Federico.			New Orleans	Junius Hart	1891	piano score (6 p.)	piano		waltz		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/38	38	39.pdf	/p15140coll56/image/39.pdf
Junto à tí	Close to thee	Rio, Antonio del			New Orleans	Junius Hart	1889	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/39	39	40.pdf	/p15140coll56/image/40.pdf
Lamentos	Lament	Martinez, Narciso.			New Orleans	Junius Hart	1886	piano score (6 p.)	piano	Mrs. Louis Price	waltz	Compositions of Narciso Martinez	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1. M86 Box 3, no. 8c	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/40	40	41.pdf	/p15140coll56/image/41.pdf
Mi laud	My Lute	Moreno, Trinidad.			New Orleans	Junius Hart	n.d.	piano score (8 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/41	41	42.pdf	/p15140coll56/image/42.pdf
Lazos de amor!	Links of Love!	Rosas, Juventino.			New Orleans	n.p.	n.d.	piano score (6 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/42	42	43.pdf	/p15140coll56/image/43.pdf
