Title	Author	Date	Physical description	Language	Type	Geographic focus	Subject	Description	Location of originals	Repository Collection	Repository Collection Guide	Contributors	Notes	Publisher	Format	Relation	Rights	Contact and Ordering Information	Cataloged Date	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	Object File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 5	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/504	504	505.jp2	/p15140coll18/image/505.jp2
Page 6	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/505	505	506.jp2	/p15140coll18/image/506.jp2
Page 7	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/506	506	507.jp2	/p15140coll18/image/507.jp2
Page 8	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/507	507	508.jp2	/p15140coll18/image/508.jp2
Page 9	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/508	508	509.jp2	/p15140coll18/image/509.jp2
Page 10	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/509	509	510.jp2	/p15140coll18/image/510.jp2
Page 11	Moyse, Hermann, 1891-1985	1918 Mar. 28	11 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/510	510	511.jp2	/p15140coll18/image/511.jp2
Page 1	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/511	511	512.jp2	/p15140coll18/image/512.jp2
Page 2	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/512	512	513.jp2	/p15140coll18/image/513.jp2
Page 3	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/513	513	514.jp2	/p15140coll18/image/514.jp2
Page 4	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/514	514	515.jp2	/p15140coll18/image/515.jp2
Page 5	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/515	515	516.jp2	/p15140coll18/image/516.jp2
Page 6	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/516	516	517.jp2	/p15140coll18/image/517.jp2
Page 7	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/517	517	518.jp2	/p15140coll18/image/518.jp2
Page 8	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/518	518	519.jp2	/p15140coll18/image/519.jp2
Page 9	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/519	519	520.jp2	/p15140coll18/image/520.jp2
Page 10	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/520	520	521.jp2	/p15140coll18/image/521.jp2
Page 11	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/521	521	522.jp2	/p15140coll18/image/522.jp2
Page 12	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/522	522	523.jp2	/p15140coll18/image/523.jp2
Page 13	Moyse, Hermann, 1891-1985	1918 Apr. 6	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/523	523	524.jp2	/p15140coll18/image/524.jp2
Page 1	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/524	524	525.jp2	/p15140coll18/image/525.jp2
Page 2	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/525	525	526.jp2	/p15140coll18/image/526.jp2
Page 3	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/526	526	527.jp2	/p15140coll18/image/527.jp2
Page 4	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/527	527	528.jp2	/p15140coll18/image/528.jp2
Page 5	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/528	528	529.jp2	/p15140coll18/image/529.jp2
Page 6	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/529	529	530.jp2	/p15140coll18/image/530.jp2
Page 7	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/530	530	531.jp2	/p15140coll18/image/531.jp2
Page 8	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/531	531	532.jp2	/p15140coll18/image/532.jp2
Page 9	Moyse, Hermann, 1891-1985	1918 Apr. 14	9 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/532	532	533.jp2	/p15140coll18/image/533.jp2
Page 1	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/533	533	534.jp2	/p15140coll18/image/534.jp2
Page 2	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/534	534	535.jp2	/p15140coll18/image/535.jp2
Page 3	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/535	535	536.jp2	/p15140coll18/image/536.jp2
Page 4	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/536	536	537.jp2	/p15140coll18/image/537.jp2
Page 5	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/537	537	538.jp2	/p15140coll18/image/538.jp2
Page 6	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/538	538	539.jp2	/p15140coll18/image/539.jp2
Page 7	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/539	539	540.jp2	/p15140coll18/image/540.jp2
Page 8	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/540	540	541.jp2	/p15140coll18/image/541.jp2
Page 9	Moyse, Hermann, 1891-1985	1918 Apr. 20	13 leaves.	en	correspondence	France	World War, 1914-1918		Mss. 4671, Box 1a: 7	Moyse-Gottlieb-Sommer Family Papers, Mss. 4671, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	http://www.lib.lsu.edu/special/findaid/4671.pdf																		2010-07-22	2010-07-22	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll18/id/541	541	542.jp2	/p15140coll18/image/542.jp2
